person_id,w_I,w_E,w_U,tau,noise_s,alpha_I_pos,alpha_I_neg,alpha_E,alpha_U,instinct_avoid_conflict_0,instinct_approach_conflict_care_0,enjoyment_avoid_conflict_0,enjoyment_approach_conflict_care_0,utility_avoid_conflict_0,utility_approach_conflict_care_0
0,0.5091961086359078,0.7750471648319878,0.8129493380284457,3.0,0.050191996475376435,0.2433344203968658,0.23923346071288393,0.1654724988441389,0.20104388510250407,-0.1596239113646572,-0.1269234598767418,0.3523165834303324,0.5609149457775016,0.04435482837428789,0.4907896758150569
1,0.5230282707113931,0.784813456324623,0.7514760286258962,3.0,0.15607415490740884,0.20178539072944882,0.20592782180085825,0.21153264934504065,0.21537834954538632,-0.07208627981914001,-0.16328430119101373,0.06057094043946179,0.4845609398126635,0.39409945210631625,0.5758361290138305
2,0.5633545550163755,0.852543948995767,0.7512352394400514,3.0,0.1513770077767141,0.2224952824353007,0.20487237769902802,0.2497383314867222,0.21525376155921086,0.12819945647351372,0.047824032226232494,0.41064736960781417,0.41237728222834297,0.48264771906146553,0.673679546625109
3,0.502172836278243,0.7686686281997313,0.7537018495289307,3.0,0.19124906187983715,0.21475776279175768,0.24778742496683195,0.20014591878688404,0.17874424120009233,0.19340868493113333,0.09358288768636441,0.41458391164213826,0.37149609942201206,0.3412325596010641,0.5680949240228956
4,0.5126747615783089,0.7637740565044503,0.7537643675918747,3.0,0.17142793416818586,0.16609876952591088,0.2454591964640493,0.20322355508635195,0.19549231732436523,-0.10544944434978154,0.12198906483503302,0.36037926033867906,0.31362253249563177,0.4770618866599742,0.43576998436887215
5,0.4019603323500959,0.821131476894275,0.8487068952424363,3.0,0.1044080551575701,0.16182439183203576,0.18008584290685092,0.16278012165351907,0.22538316907055753,0.19823500636300362,-0.034074143702287396,0.3651473184567108,0.38808537758565614,0.0617915886072814,0.8395085989583388
6,0.6072318732793945,0.811277849405179,0.8400208575530028,3.0,0.12659520784839157,0.23166654839072062,0.22923067810699302,0.19026865990555036,0.17342320652401275,0.035361338771940476,-0.020878713101024682,0.5824594214940307,0.8807470506960275,0.2988650756232823,0.616219530568124
7,0.43973489279264955,0.8861267862934227,0.7742665639545632,3.0,0.18032402574724976,0.2250651404573985,0.16816474451618466,0.15365593498503452,0.22780450843531416,0.19029434000207873,0.16558069200896797,0.48105680550369945,0.31335374091518853,0.252476422221036,0.5802284737775991
8,0.567334855292613,0.762850116082782,0.7794206485710993,3.0,0.07014613729908437,0.23934876225660703,0.18183535398305894,0.21005475774256022,0.22749568551612054,0.057808139214147736,0.005714472351990019,0.3091729863240209,0.30623076997142334,0.026416904674720854,0.6520025827788998
9,0.4660305157678659,0.7566022007065906,0.8057882362589065,3.0,0.08191274210033536,0.19250171560233054,0.1743548054795422,0.15236138963874718,0.18924009495721728,0.03708642003487478,0.06724216973362657,0.4944100431432217,0.4091770675537856,0.13488547194848088,0.5133171315610672
10,0.49623903338130515,0.8252958057429705,0.7622683079343633,3.0,0.08538106504356399,0.19797255887743703,0.19806543510006053,0.18643332926677697,0.1757201805784421,-0.02985374364332033,-0.17842696259846336,0.23016765088222113,0.4981746508135564,0.1604587791691718,0.7506109721256629
11,0.49406140167412915,0.7861976692154877,0.8366263463724257,3.0,0.10179849084271697,0.23696971394923994,0.17966637707554986,0.19873924114963346,0.18025866980453092,0.15170554024293542,0.16260506515628176,0.22504626332744004,0.718421738165308,0.31469465749931924,0.782125074077749
12,0.46599670494517337,0.8437815626724172,0.7531299017707959,3.0,0.11243127062328187,0.22569344898615343,0.24633889244100637,0.21800299816533775,0.17694072128792937,-0.0889369737395806,0.12829896236102428,0.2723096602076189,0.3915392033049334,0.06808450425144716,0.2307186363504371
13,0.48135218099089705,0.8006740625650436,0.8088871101838504,3.0,0.05087854854440684,0.18349787177470953,0.24019184726264198,0.15542535071057714,0.21313288174121608,0.09585438216946413,-0.2303161339453405,0.2752577935740622,0.40544103380942764,0.3369080172259265,0.817823219975459
14,0.4613681864163639,0.9167163533729403,0.787807027575158,3.0,0.08270065340783758,0.23705269409451885,0.1886887157533208,0.22675564615742083,0.1513725631135614,-0.05764918935905833,-0.15269799590647704,0.45723410171463286,0.2674331390459631,0.1288854347394218,0.5760621618357291
