person_id,w_I,w_E,w_U,tau,noise_s,alpha_I_pos,alpha_I_neg,alpha_E,alpha_U,instinct_avoid_conflict_0,instinct_approach_conflict_care_0,enjoyment_avoid_conflict_0,enjoyment_approach_conflict_care_0,utility_avoid_conflict_0,utility_approach_conflict_care_0
0,0.6378175579744468,0.5950864613801541,1.0,3.0,0.05340613138291875,0.04964171176072346,0.09454263656706612,0.03901054156287166,0.03228606612339468,-0.05711243804994248,-0.08304959805735151,-0.4313459372413875,0.4836974769268354,-0.17959123882613645,0.20723263081462634
1,0.1987203609499426,0.36914401149064063,0.7230214359506906,3.0,0.07496287417311939,0.08995731978810764,0.08754528845086768,0.06171960987450703,0.0688867899511999,0.007243504656716526,-0.03319549563258012,-0.29210481848025327,0.23094633509578397,-0.06436962192617138,0.04618246469464743
2,0.6489090421490181,0.8568008156882705,0.84494453632077,3.0,0.1664466886879371,0.08996904637872852,0.10388789603201572,0.0900661355383711,0.11389943136403363,0.16438640699495316,0.15606986627930275,-0.014618181381809814,0.32039704406712527,-0.2701701630624195,0.5039922888569757
3,0.42482221644657553,1.0,1.0,3.0,0.1294914641374316,0.07414260218590762,0.08760134039189348,0.033936941687311664,0.08875553585249424,0.1594756965694069,0.1338607781254657,0.08324723822421154,0.34296141235702626,-0.09684936469310097,0.3401816676127158
4,0.35767702241792043,0.558651669516244,0.7136798933519852,3.0,0.09138521281447423,0.03938260447554423,0.051609293885117605,0.11841438687776766,0.0329838671905619,0.19347684809148546,-0.20971939304449677,-0.5194935145127081,0.14062932457661817,-0.13253279919355637,0.1476410367825088
5,0.6502633767947861,0.8709241960131735,0.8777421994109171,3.0,0.1438651529685228,0.05646718758482497,0.03395252424518214,0.07148801475377993,0.11045958512049037,0.053562121418092745,-0.1549373784071485,-0.3651866918222041,0.19299185652898318,-0.11268466366033567,0.17950047951870718
6,0.6601631677477967,0.9599121884668508,1.0,3.0,0.11196384390402103,0.09531847508454692,0.041593793437532285,0.041826763126732905,0.0792870203794502,0.05786897464196972,0.09263705381639886,-0.26685790495129824,0.22699959226573446,-0.2079280219748399,0.46822742388477434
7,0.3612736693417332,0.8257333406590824,0.7567622231228758,3.0,0.10497855997991881,0.05476278687532444,0.09641807452084332,0.10739876326980542,0.09183316208476709,0.2202963847169721,-0.10356104979337682,-0.09886417866569194,0.2688107689282053,0.0794182997382536,0.13809136418591797
8,0.4814930211581419,0.6860938727034752,0.8707539495122958,3.0,0.1658286516291204,0.08221232621723987,0.03072151447230842,0.06907904680604926,0.09663136046761227,-0.10294765289755697,-0.23292603586524047,-0.13611611287805,0.17812319809097,-0.3681562899991337,0.5723826176832081
9,0.6910981601562163,0.6531742166527478,0.8872013869872233,3.0,0.18783589045632276,0.11107417670079187,0.10290015516387586,0.08553587705514656,0.08747767477777203,0.10660718036489375,-0.045784017262920196,-0.28704101819717637,0.30974586063603554,-0.19883884944990377,0.3937693114186109
10,0.6546494403346491,0.40637376294237026,0.8397932701985328,3.0,0.060671560055884075,0.03171095737287024,0.030560338624092746,0.03790374306737468,0.07979248848044806,0.24488870826718395,-0.06311986650160434,-0.10171105458759282,0.3220424450053775,-0.4857698225619598,0.36401300090681793
