person_id,w_I,w_E,w_U,tau,noise_s,alpha_I_pos,alpha_I_neg,alpha_E,alpha_U,instinct_avoid_conflict_0,instinct_approach_conflict_care_0,enjoyment_avoid_conflict_0,enjoyment_approach_conflict_care_0,utility_avoid_conflict_0,utility_approach_conflict_care_0
0,0.5289274898648975,0.6804002275840502,0.7748489846382319,3.0,0.18807455600401235,0.24592521611544474,0.1849530661865293,0.20518951804086777,0.19159727326265175,0.12639227302471367,-0.08531068421060645,-0.17394200383727987,0.11741823057254272,-0.3775565913742074,0.3638855054762319
1,0.6307366885569867,0.7750904366728517,0.8419874078905186,3.0,0.156447646951475,0.22032173052070958,0.11456570148125658,0.26088843255232236,0.1796295025157436,-0.16371869881088796,0.08614481785576938,-0.30446024876741296,0.03153174246127399,0.026159155178296395,0.3955574303701895
2,0.7402690180031674,0.517358954295271,0.8183944167031725,3.0,0.15401744197227404,0.25171971741585125,0.20145647279756868,0.29301294405592215,0.2439348366532732,0.15655959476078296,-0.12207678679744072,0.017979324852546025,0.1829579577463174,-0.1044548439533293,0.30549207667203476
3,0.2548800333573277,0.7118800409511205,0.7843219597577727,3.0,0.12226506578070086,0.2931562990080833,0.16781714689152225,0.1199384355572894,0.24885264394592474,0.13277901963501143,-0.017954260500711416,-0.17264689402086392,0.22097936858652728,-0.13948377475437812,0.5292795118933267
4,0.6156671542567187,0.6559626021592886,1.0,3.0,0.13485833711975637,0.12920559457873368,0.19680846559677012,0.111207708255112,0.18992497331838848,-0.21670370862693827,-0.17707489190925507,0.028009471772140304,0.4384972194157532,-0.17003684066349714,0.1599814937937201
5,0.5596157584462017,0.5593341814744468,0.25804176627163267,3.0,0.12213762772640635,0.15816197154475137,0.22077942492778785,0.29817791557890144,0.10904955485669521,0.013856076653154026,0.06171690042082656,-0.4453144506844573,0.10391777612900305,-0.21151728914956983,0.32209633780866986
6,0.21177954300606255,0.8850592546431144,0.9559892280137667,3.0,0.05409221638123774,0.2494371309148679,0.19823886607811697,0.19239904379795197,0.11500150404815264,-0.22903977662888847,-0.08311362853066867,-0.10047109614785148,0.42904442603723003,-0.1979907289739275,0.15460664303752047
7,0.5887565193967607,0.902574962904498,0.9954339626953562,3.0,0.13033717074437473,0.18115112530288918,0.13351088579239273,0.28818791751074857,0.1486212832899791,0.026594556936896607,-0.07145771263343415,-0.2616044755913638,0.409835542836443,-0.22903966906128503,0.22373078153949155
8,0.8562422117500658,0.8717264553926622,1.0,3.0,0.06359163820465491,0.2186820385122877,0.22530215846164228,0.25543071642115794,0.10643114813457129,-0.07680297067527625,0.12961050631133952,-0.12901412958878983,0.35191939421867136,-0.1969394119066713,0.10558490895859732
9,0.5007221434312739,0.6126988966793121,0.9656476102301469,3.0,0.1365155146635392,0.17942968530927386,0.2563585427262527,0.295847943247618,0.2599133614705033,-0.2135178041322342,-0.11281281990944808,-0.11511623472569153,0.25274833154714466,-0.2548343218325458,0.7003305865114571
10,0.7009334285443881,0.5783816637283439,0.8573437789488061,3.0,0.1933761445615214,0.28732046505120784,0.2174622792920949,0.21452281556400304,0.2492649896539934,0.10722219431619767,0.0801353765163762,-0.7340778187098453,0.08967967867900642,-0.10418184732278678,0.4807930076324468
11,0.3476764932831945,0.9784724601338691,0.867194582617178,3.0,0.05783637001108558,0.17537265260003354,0.27915199688682074,0.2897786311647257,0.18016595619938075,-0.15778512592608768,-0.006983710587271652,-0.15375766425127765,0.12944067359095776,-0.06671680702182539,0.2639164899997923
12,0.5425232289844818,0.7898453351106343,0.6061974651249454,3.0,0.14346483907359853,0.2643886355197635,0.12510031507301894,0.29478596444296207,0.18245356230664597,-0.15202804424441757,-0.18288952453708318,-0.12446340216019221,0.6256777000314105,-0.35445535587601823,0.20195464331867607
